Apex Ministry/Dept/State,Parent of Organisation,org_code,org_name,contact_address1,contact_address2,contact_address3,pincode,pg_officer_desig,Organisation levels
Central Board of Direct Taxes (Income Tax),Pr.CIT Asansol,ADLA3,Addl CIT R 3 Asl,Parmar Building, , ,713304,Addl CIT R 3 Asl,5
Central Board of Direct Taxes (Income Tax),Pr. CIT Kurnool,ADKDP,Additional CIT,Kadapa Range  2-430/8 Nagarajupet Kadapa,NA,NA,516001,Addl CIT Kadapa,5
Central Board of Direct Taxes (Income Tax),Pr. CIT Kurnool,ADKNL,Additional CIT Kurnool,Aayakar Bhavan,Opp Childrens Park NR Pet,Kurnool,518001,JCIT Kurnool,5
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADLB1,Addl.CIT Range 1 Burdwan,Court Compound,Burdwan,NA,713101,Addl.CIT Range 1 Burdwan,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADLB2,Addl.CIT Range 2 Burdwan,Court Compound,Burdwan,NA,713101,Addl.CIT Range 2 Burdwan,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADLB3,Addl.CIT Range 3 Suri,Aayakar Bhawan,Suri,NA,731101,Addl.CIT Range 3 Suri,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADLC1,Addl.CIT Range 1 Central Kolkata,Aayakar Bhawan Poorva,Kolkata,NA,700107,Addl.CIT Range 1 Central Kolka,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADLC2,Addl.CIT Range 2 Central Kolkata,Aayakar Bhawan Poorva,Kolkata,NA,700107,Addl.CIT Range 2 Central Kol,3
Central Board of Direct Taxes (Income Tax),Pr.CIT Siliguri,ADJS3,Addl CIT R 3 Slg,Aayakar Bhawan, , ,734101,Addl CIT R 3 Slg,5
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADLD1,Addl.CIT Range 1 DURGAPUR,Aayakar Bhawan Annexe,Durgapur,NA,713216,Addl.CIT Range 1 DURGAPUR,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADLD2,Addl.CIT Range 2 Durgapur,Aayakar Bhawan Annexe,Durgapur,NA,713216,Addl.CIT Range 2 Durgapur,3
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,ADLD3,Addl.CIT Range 3 Bankura,Income Tax Office,Bankura,NA,722101,Addl.CIT Range 3 Bankura,3
